Addr	A0	Addr	P00h	P01h	P02h	P10h	P11h
00	81	80	81	03	4D	00	11
01	40	81	4C	00	00	00	11
02	00	82	69	01	FB	00	00
03	02	83	67	00	00	00	00
04	00	84	68	05	48	00	00
05	00	85	74	00	00	00	00
06	00	86	72	00	00	00	00
07	00	87	6F	00	00	00	00
08	01	88	6E	00	88	00	00
09	00	89	20	00	B8	00	00
0A	00	8A	49	66	79	00	00
0B	00	8B	6E	58	18	00	00
0C	00	8C	63	01	87	00	00
0D	00	8D	2E	C1	8C	00	00
0E	16	8E	20	04	7A	00	00
0F	12	8F	20	81	A8	00	00
10	80	90	20	45	FF	00	00
11	C4	91	91	20	FF	10	00
12	00	92	92	46	FF	10	00
13	00	93	93	00	FF	10	00
14	00	94	51	00	FF	10	00
15	00	95	46	10	FF	00	00
16	00	96	50	9C	FF	00	00
17	00	97	35	18	FF	00	00
18	00	98	58	00	FF	00	00
19	00	99	2D	00	FF	0F	00
1A	40	9A	44	00	FF	00	32
1B	00	9B	52	3A	FF	00	4C
1C	00	9C	4D	02	FF	00	34
1D	00	9D	50	06	FF	00	93
1E	00	9E	4F	06	FF	00	33
1F	00	9F	2D	03	FF	00	AF
20	00	A0	43	07	FF	0F	2E
21	00	A1	4F	09	FF	0F	79
22	00	A2	41	01	FF	11	00
23	00	A3	20	00	FF	11	00
24	00	A4	41	00	FF	00	00
25	00	A5	20	00	FF	00	00
26	00	A6	43	00	FF	11	00
27	03	A7	32	17	FF	11	00
28	00	A8	36	23	FF	00	00
29	00	A9	30	00	FF	00	00
2A	00	AA	34	00	FF	22	56
2B	00	AB	30	00	FF	22	89
2C	00	AC	30	00	FF	00	58
2D	00	AD	30	00	FF	00	A4
2E	00	AE	30	00	FF	00	56
2F	00	AF	33	00	FF	00	89
30	00	B0	20	01	91	00	56
31	00	B1	20	00	22	00	89
32	00	B2	20	00	0C	00	00
33	00	B3	20	00	12	00	00
34	00	B4	20	00	73	00	00
35	00	B5	20	00	48	00	00
36	00	B6	32	00	0D	00	00
37	00	B7	36	00	8B	00	00
38	00	B8	30	00	D6	00	00
39	00	B9	31	00	D8	00	00
3A	00	BA	31	00	27	00	00
3B	00	BB	33	00	10	00	01
3C	00	BC	20	00	C3	00	00
3D	00	BD	20	00	50	00	01
3E	00	BE	20	00	3A	00	00
3F	00	BF	20	00	98	00	01
40	00	C0	20	00	91	00	00
41	00	C1	20	00	22	00	01
42	00	C2	20	00	04	00	00
43	00	C3	20	00	CE	00	00
44	00	C4	20	00	73	00	00
45	00	C5	20	00	48	00	00
46	00	C6	20	00	06	00	00
47	00	C7	20	00	0D	00	00
48	00	C8	40	00	FF	00	00
49	00	C9	18	00	FF	00	00
4A	00	CA	00	00	FF	00	00
4B	00	CB	0C	00	FF	00	00
4C	00	CC	00	00	FF	00	00
4D	00	CD	00	00	FF	00	00
4E	00	CE	00	00	FF	00	10
4F	00	CF	00	00	FF	00	10
50	00	D0	00	00	FF	00	10
51	00	D1	00	00	FF	00	10
52	00	D2	F0	00	FF	00	00
53	00	D3	00	00	FF	00	00
54	00	D4	04	00	FF	00	00
55	02	D5	00	00	FF	00	00
56	0F	D6	00	00	FF	00	0F
57	17	D7	00	00	FF	00	00
58	44	D8	00	00	FF	00	00
59	01	D9	00	00	FF	00	00
5A	0A	DA	00	00	FF	00	00
5B	00	DB	00	00	FF	00	00
5C	11	DC	00	00	FF	00	00
5D	0F	DD	00	00	FF	00	0F
5E	FF	DE	B1	00	FF	00	0F
5F	00	DF	00	00	FF	00	11
60	00	E0	00	00	FF	00	11
61	00	E1	00	00	FF	00	00
62	00	E2	00	00	FF	00	00
63	00	E3	00	00	FF	00	11
64	00	E4	00	00	FF	00	11
65	00	E5	00	00	FF	00	00
66	00	E6	00	00	FF	00	00
67	00	E7	00	00	FF	00	22
68	00	E8	00	00	FF	00	22
69	00	E9	00	00	FF	00	00
6A	00	EA	00	00	33	00	00
6B	00	EB	00	00	33	00	00
6C	00	EC	00	00	22	00	00
6D	00	ED	00	00	22	00	00
6E	00	EE	00	00	22	00	00
6F	00	EF	00	00	22	00	00
70	00	F0	00	00	FF	00	11
71	00	F1	00	00	FF	00	12
72	00	F2	00	00	FF	00	13
73	00	F3	00	00	FF	00	14
74	00	F4	00	00	FF	00	00
75	00	F5	00	00	FF	00	00
76	00	F6	00	00	FF	00	00
77	00	F7	00	00	FF	00	00
78	00	F8	00	00	FF	00	11
79	00	F9	00	00	FF	00	12
7A	00	FA	00	00	FF	00	13
7B	00	FB	00	00	FF	00	14
7C	00	FC	00	00	FF	00	00
7D	00	FD	00	00	FF	00	00
7E	00	FE	00	00	FF	00	00
7F	00	FF	00	11	74	00	00
